"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"LIDR","AEye Inc","Domestic","$137M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","--","1.23"
"AFCG","AFC Gamma Inc","Domestic","$332M (Micro)","Financials","Mortgage Real Estate Investment Trusts (REITs)","Mortgage REITs","7.84","0.95"
"AMG","Affiliated Managers Group Inc","Domestic","$6B (Small)","Financials","Capital Markets","Asset Management & Custody Banks","12.79","2.12"
"AFBI","Affinity Bancshares Inc","Domestic","$97M (Micro)","Financials","Banks","Regional Banks","14.68","0.84"
"AFRM","Affirm Holdings Inc","Domestic","$4B (Small)","Information Technology","IT Services","Data Processing & Outsourced Services","--","1.65"
"AFFU","Affluence Corp","Domestic","-- ","Communication Services","Interactive Media & Services","Interactive Media & Services","--","--"
"GRHI","Affordable Homes Group","Domestic","-- ","Consumer Discretionary","Household Durables","Homebuilding","--","--"
"AFFY","Affymax Inc","Domestic","$232K (Micro)","Health Care","Biotechnology","Biotechnology","0.09","0.04"
"AFL","Aflac Inc","Domestic","$44B (Large)","Financials","Insurance","Life & Health Insurance","9.01","1.82"
"AFDG","African Discovery Group Inc","Domestic","-- ","Industrials","Road & Rail","Trucking","--","--"
"AFTM","Aftermaster Inc","Domestic","$70K (Micro)","Consumer Discretionary","Leisure Products","Leisure Products","--","--"
"MITT","AG Mortgage Investment Trust Inc","Domestic","$117M (Micro)","Financials","Mortgage Real Estate Investment Trusts (REITs)","Mortgage REITs","--","0.48"
"AGCO","AGCO Corp","Domestic","$9B (Mid)","Industrials","Machinery","Agricultural & Farm Machinery","10.94","2.62"
"UAVS","Ageagle Aerial Systems Inc","Domestic","$46M (Micro)","Industrials","Machinery","Agricultural & Farm Machinery","--","0.51"
"AIFS","Agent Information Software Inc","Domestic","$9M (Micro)","Information Technology","Internet Software & Services","Internet Software & Services","--","2.31"
"AGEN","Agenus Inc","Domestic","$898M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AGE","AgeX Therapeutics Inc","Domestic","$24M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AGRX","Agile Therapeutics Inc","Domestic","$9M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","1.37"
"A","Agilent Technologies Inc","Domestic","$43B (Large)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","32.94","8.40"
"AGIL","AgileThought Inc","Domestic","$192M (Micro)","Information Technology","IT Services","IT Consulting & Other Services","--","2.21"
"AGTI","Agiliti Inc","Domestic","$2B (Micro)","Health Care","Health Care Providers & Services","Health Care Services","54.45","2.06"
"AGL","agilon health inc","Domestic","$7B (Small)","Health Care","Health Care Providers & Services","Health Care Services","--","6.30"
"AGYS","Agilysys Inc","Domestic","$2B (Micro)","Information Technology","Software","Application Software","208.79","15.90"
"AGIO","Agios Pharmaceuticals Inc","Domestic","$2B (Micro)","Health Care","Biotechnology","Biotechnology","--","1.49"
"AGNC","AGNC Investment Corp","Domestic","$5B (Small)","Financials","Mortgage Real Estate Investment Trusts (REITs)","Mortgage REITs","--","0.91"
"ADC","Agree Realty Corp","Domestic","$6B (Small)","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","38.87","1.40"
"AGDY","Agri-Dynamics Inc","Domestic","-- ","Consumer Discretionary","Auto Components","Auto Parts & Equipment","--","--"
"AGFY","Agrify Corp","Domestic","$3M (Micro)","Industrials","Machinery","Agricultural & Farm Machinery","--","0.09"
"AGTK","Agritek Holdings Inc","Domestic","$7K (Micro)","Consumer Discretionary","Distributors","Distributors","--","--"
"ACMB","Agro Capital Management Corp","Domestic","$3M (Micro)","--","--","--","--","--"
"AGFS","AgroFresh Solutions Inc","Domestic","$149M (Micro)","Materials","Chemicals","Fertilizers & Agricultural Chemicals","--","0.82"
"AIAD","Aiadvertising Inc","Domestic","$7M (Micro)","Communication Services","Media","Advertising","--","--"
"AIKI","Aikido Pharma Inc","Domestic","$23M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.24"
"ALRN","Aileron Therapeutics Inc","Domestic","$15M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.66"
"AEXE","AIM Energy Inc","Domestic","$146K (Micro)","Materials","Metals & Mining","Diversified Metals & Mining","--","--"
"AIM","AIM ImmunoTech Inc","Domestic","$23M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.47"
"AIMD","Ainos Inc","Domestic","$20M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.60"
"AIRI","Air Industries Group","Domestic","$19M (Micro)","Industrials","Aerospace & Defense","Aerospace & Defense","12.71","1.09"
"AL","Air Lease Corp","Domestic","$4B (Small)","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","--","0.62"
"APD","Air Products and Chemicals Inc","Domestic","$65B (Large)","Materials","Chemicals","Industrial Gases","29.09","4.95"
"AIRT","Air T Inc","Domestic","$65M (Micro)","Industrials","Air Freight & Logistics","Air Freight & Logistics","7.19","2.71"
"ATSG","Air Transport Services Group Inc","Domestic","$2B (Micro)","Industrials","Air Freight & Logistics","Air Freight & Logistics","12.25","1.43"
"ABNB","Airbnb Inc","Domestic","$63B (Large)","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","41.43","11.51"
"ABWN","Airborne Wireless Network","Domestic","$486K (Micro)","Communication Services","Diversified Telecommunication Services","Alternative Carriers","--","--"
"AIRG","Airgain Inc","Domestic","$74M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","--","1.75"
"AIRS","Airsculpt Technologies Inc","Domestic","$185M (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","2.53"
"MIMO/WS","Airspan Networks Holdings Equity Warrants Exp 1 Nov 2026","Domestic","-- ","Information Technology","Communications Equipment","Communications Equipment","--","--"
"MIMO","Airspan Networks Holdings Inc","Domestic","$159M (Micro)","Information Technology","Communications Equipment","Communications Equipment","--","--"
"AKA","AKA Brands Holding Corp","Domestic","$240M (Micro)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","--","0.60"
"AKAM","Akamai Technologies Inc","Domestic","$14B (Mid)","Information Technology","IT Services","Internet Services & Infrastructure","29.09","3.39"
