"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"ATCV","ATC Venture Group Inc","Domestic","$711 (Micro)","Materials","Metals & Mining","Steel","--","--"
"AVIR","Atea Pharmaceuticals Inc","Domestic","$388M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","13.02","0.59"
"ATCN","Atec Inc","Domestic","-- ","Industrials","Construction & Engineering","Construction & Engineering","--","--"
"ATER","Aterian Inc","Domestic","$91M (Micro)","Consumer Discretionary","Household Durables","Household Appliances","--","0.79"
"ABIT","Athena Bitcoin Global","Domestic","$2B (Micro)","--","--","--","--","--"
"ATNX","Athenex Inc","Domestic","$30M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.20"
"ATHX","Athersys Inc","Domestic","$7M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"ATHA","Athira Pharma Inc","Domestic","$117M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","0.44"
"ATI","ATI Inc","Domestic","$4B (Small)","Materials","Metals & Mining","Steel","303.76","4.58"
"ATIP","ATI Physical Therapy Inc","Domestic","$112M (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","0.73"
"ATIF","ATIF Holdings Ltd","Domestic","$14M (Micro)","Industrials","Professional Services","Research & Consulting Services","--","1.42"
"ATKR","Atkore Inc","Domestic","$4B (Small)","Industrials","Electrical Equipment","Electrical Components & Equipment","5.04","3.75"
"AAME","Atlantic American Corp","Domestic","$62M (Micro)","Financials","Insurance","Multi-line Insurance","24.07","0.63"
"AWSL","Atlantic Power and Infrastructure Corp","Domestic","-- ","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity","--","--"
"AUB","Atlantic Union Bankshares Corp","Domestic","$3B (Small)","Financials","Banks","Regional Banks","12.74","1.11"
"ATLC","Atlanticus Holdings Corp","Domestic","$411M (Micro)","Financials","Consumer Finance","Consumer Finance","4.08","1.34"
"ATPL","Atlantis Plastics Inc","Domestic","$826 (Micro)","Materials","Chemicals","Commodity Chemicals","--","--"
"ATNP","Atlantis Technology Group","Domestic","$926K (Micro)","Financials","Capital Markets","Asset Management & Custody Banks","--","--"
"AAWW","Atlas Air Worldwide Holdings Inc","Domestic","$3B (Small)","Industrials","Air Freight & Logistics","Air Freight & Logistics","8.08","0.97"
"ACIIW","Atlas Crest Invt II Equity Warrants","Domestic","-- ","--","--","--","--","--"
"AFHIF","Atlas Financial Holdings Inc","Domestic","$1M (Micro)","Financials","Insurance","Property & Casualty Insurance","--","--"
"ATLX","Atlas Lithium Corp","Domestic","$55M (Micro)","Materials","Metals & Mining","Precious Metals & Minerals","--","45.04"
"ALSI","Atlas Resources International Inc","Domestic","$2M (Micro)","Consumer Staples","Food & Staples Retailing","Food Distributors","--","--"
"ATCX","Atlas Technical Consultants Inc","Domestic","$236M (Micro)","Industrials","Professional Services","Research & Consulting Services","--","--"
"ATYG","Atlas Technology Group Inc","Domestic","$1M (Micro)","Information Technology","IT Services","IT Consulting & Other Services","--","--"
"TEAM","Atlassian Corp","Domestic","$31B (Mid)","Information Technology","Software","Application Software","--","92.44"
"AMV","Atlis Motor Vehicles Inc","Domestic","-- ","Industrials","Machinery","Construction Machinery & Heavy Trucks","--","--"
"ATO","Atmos Energy Corp","Domestic","$16B (Mid)","Utilities","Gas Utilities","Gas Utilities","19.99","1.66"
"ATNI","ATN International Inc","Domestic","$763M (Micro)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","--","1.31"
"ATOM","Atomera Inc","Domestic","$208M (Micro)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","--","9.17"
"ATOS","Atossa Therapeutics Inc","Domestic","$99M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.81"
"BCEL","Atreca Inc","Domestic","$45M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.47"
"ATRC","AtriCure Inc","Domestic","$2B (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","4.66"
"ATRI","Atrion Corp","Domestic","$1B (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Supplies","31.26","4.37"
"ATWT","ATWEC Technologies Inc","Domestic","-- ","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","--","--"
"LIFE","aTyr Pharma Inc","Domestic","$66M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.86"
"ABBB","Auburn Bancorp Inc","Domestic","$6M (Micro)","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance","19.87","0.74"
"AUBN","Auburn National Bancorporation Inc","Domestic","$81M (Micro)","Financials","Banks","Regional Banks","10.48","1.35"
"AUD","Audacy Inc","Domestic","$50M (Micro)","Communication Services","Media","Broadcasting","--","0.10"
"AUUD","Auddia Inc","Domestic","$16M (Micro)","Information Technology","Software","Application Software","--","2.65"
"AEYE","AudioEye Inc","Domestic","$54M (Micro)","Information Technology","Software","Application Software","--","4.70"
"AUGX","Augmedix Inc","Domestic","$47M (Micro)","Health Care","Health Care Technology","Health Care Technology","--","7.25"
"AURA","Aura Biosciences Inc","Domestic","$411M (Micro)","Health Care","Biotechnology","Biotechnology","--","3.57"
"ORAAF","Aura Minerals Inc","Domestic","-- ","Materials","Metals & Mining","Gold","--","--"
"AUSI","Aura Systems Inc","Domestic","$35M (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","--"
"ARAO","AuraSource Inc","Domestic","$8M (Micro)","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","--","--"
"AURI","Auri Inc","Domestic","$1M (Micro)","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","--","0.22"
"AUPH","Aurinia Pharmaceuticals Inc","Domestic","$674M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.59"
"AUR","Aurora Innovation Inc","Domestic","$2B (Micro)","Industrials","Commercial Services & Supplies","Diversified Support Services","--","0.97"
"AUMC","Auryn Mining Corp","Domestic","-- ","Materials","Metals & Mining","Diversified Metals & Mining","--","--"
"AUSAF","Australis Capital Inc","Domestic","-- ","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"AUID","Authid Inc","Domestic","$21M (Micro)","Information Technology","Software","Systems Software","--","2.63"
"EPAZ","Auto Dataflow Inc","Domestic","$2M (Micro)","Information Technology","Software","Application Software","--","--"
"ADSK","Autodesk Inc","Domestic","$46B (Large)","Information Technology","Software","Application Software","84.61","62.66"
"ADP","Automatic Data Processing Inc","Domestic","$105B (Large)","Information Technology","IT Services","Data Processing & Outsourced Services","35.12","40.85"
"AN","AutoNation Inc","Domestic","$6B (Small)","Consumer Discretionary","Specialty Retail","Automotive Retail","4.93","2.80"
"AATC","Autoscope Technologies Corp","Domestic","$24M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","47.06","1.28"
"AZO","Autozone Inc","Domestic","$46B (Large)","Consumer Discretionary","Specialty Retail","Automotive Retail","20.51","--"
"MOBO","Avail Scientific Inc","Domestic","$5M (Micro)","Communication Services","Interactive Media & Services","Interactive Media & Services","--","4.49"
"AVTX","Avalo Therapeutics Inc","Domestic","$51M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"ALBT","Avalon Globocare Corp","Domestic","$43M (Micro)","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","--","9.37"
"AWX","Avalon Holdings Corp","Domestic","$11M (Micro)","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","--","0.27"
"AVB","Avalonbay Communities Inc","Domestic","$23B (Mid)","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","18.82","2.06"
"AGR","Avangrid Inc","Domestic","$16B (Mid)","Utilities","Electric Utilities","Electric Utilities","17.46","0.81"
"AVNS","Avanos Medical Inc","Domestic","$1B (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Supplies","28.84","0.97"
"AVTR","Avantor Inc","Domestic","$14B (Mid)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","22.69","2.97"
"AVXT","AVAX Technologies Inc","Domestic","$14K (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AVYA","Avaya Holdings Corp","Domestic","$122M (Micro)","Information Technology","Software","Application Software","--","--"
"AVAH","Aveanna Healthcare Holdings Inc","Domestic","$165M (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","0.72"
"FPCG","Avem Health Partners Inc","Domestic","$10M (Micro)","Health Care","Health Care Providers & Services","Health Care Services","3.64","2.46"
"AVNE","Aventura Equities Inc","Domestic","-- ","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","--","--"
"ATXI","Avenue Therapeutics Inc","Domestic","$8M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"AVEO","Aveo Pharmaceuticals Inc","Domestic","$516M (Micro)","Health Care","Biotechnology","Biotechnology","--","17.81"
"AVPT","AvePoint Inc","Domestic","$887M (Micro)","Information Technology","Software","Application Software","--","3.77"
"AVRI","Averox Inc","Domestic","$825K (Micro)","Information Technology","IT Services","IT Consulting & Other Services","--","1.15"
"AVY","Avery Dennison Corp","Domestic","$15B (Mid)","Materials","Containers & Packaging","Paper Packaging","18.79","7.51"
"AVEW","AVEW Holdings Inc","Domestic","$125K (Micro)","Industrials","Construction & Engineering","Construction & Engineering","--","--"
"AVNW","Aviat Networks Inc","Domestic","$352M (Micro)","Information Technology","Communications Equipment","Communications Equipment","27.09","1.73"
"CDMO","Avid Bioservices Inc","Domestic","$879M (Micro)","Health Care","Biotechnology","Biotechnology","10.18","4.91"
"AVID","Avid Technology Inc","Domestic","$1B (Micro)","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","28.37","--"
"AVBH","Avidbank Holdings Inc","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"RNA","Avidity Biosciences Inc","Domestic","$662M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.75"
"AVDX","Avidxchange Holdings Inc","Domestic","$2B (Micro)","Information Technology","IT Services","Data Processing & Outsourced Services","--","2.56"
"AVNT","Avient Corp","Domestic","$3B (Small)","Materials","Chemicals","Specialty Chemicals","22.67","1.69"
"AVGR","Avinger Inc","Domestic","$8M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","1.29"
"CAR","Avis Budget Group Inc","Domestic","$9B (Mid)","Industrials","Road & Rail","Trucking","4.22","--"
"AVA","Avista Corp","Domestic","$3B (Small)","Utilities","Multi-Utilities","Multi-Utilities","21.23","1.25"
"AVSR","Avistar Communications Corp","Domestic","$8K (Micro)","Information Technology","Communications Equipment","Communications Equipment","--","--"
"AVHHL","AVITA Medical Inc","Domestic","-- ","Health Care","Biotechnology","Biotechnology","--","--"
"RCEL","AVITA Medical Inc","Domestic","$179M (Micro)","Health Care","Biotechnology","Biotechnology","--","2.04"
"AVTI","Avitar Inc","Domestic","$1K (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Supplies","--","--"
"AVIX","Avix Technologies Inc","Domestic","$7K (Micro)","Consumer Staples","Food Products","Packaged Foods & Meats","--","0.00"
"AVT","Avnet Inc","Domestic","$4B (Small)","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","5.67","1.01"
"AVOA","Avoca LLC","Domestic","-- ","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","--"
"AVPI","AVP Inc","Domestic","$2K (Micro)","Communication Services","Entertainment","Movies & Entertainment","--","0.00"
"AVRO","AVROBIO Inc","Domestic","$35M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.35"
"AWRE","Aware Inc","Domestic","$38M (Micro)","Information Technology","Software","Application Software","--","0.90"
"AWCA","Awaysis Capital Inc","Domestic","$39M (Micro)","Information Technology","Technology Hardware, Storage & Peripherals","Computer Hardware","--","--"
"AXTA","Axalta Coating Systems Ltd","Domestic","$6B (Small)","Materials","Chemicals","Specialty Chemicals","28.39","4.42"
"ACLS","Axcelis Technologies Inc","Domestic","$3B (Small)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","15.95","4.10"
"AXLA","Axcella Health Inc","Domestic","$64M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AIGI","Axia International Group Inc","Domestic","$644 (Micro)","Financials","Capital Markets","Investment Banking & Brokerage","--","--"
"AXIM","Axim Biotechnologies Inc","Domestic","$9M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AXPWQ","Axion Power International Inc","Domestic","$10K (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","--"
"AXS","AXIS Capital Holdings Ltd","Domestic","$5B (Small)","Financials","Insurance","Property & Casualty Insurance","13.49","1.23"
"AXGC","Axis Energy Corp","Domestic","-- ","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","--"
"AXTG","Axis Technologies Group Inc","Domestic","$2M (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","--"
"AXGN","AxoGen Inc","Domestic","$487M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","4.80"
"AXON","Axon Enterprise Inc","Domestic","$14B (Mid)","Industrials","Aerospace & Defense","Aerospace & Defense","133.81","11.10"
"AXNX","Axonics Inc","Domestic","$3B (Small)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","5.68"
"AX","Axos Financial Inc","Domestic","$2B (Small)","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance","9.95","1.39"
"AXSM","Axsome Therapeutics Inc","Domestic","$2B (Small)","Health Care","Pharmaceuticals","Pharmaceuticals","--","14.70"
"AXTI","AXT Inc","Domestic","$224M (Micro)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","12.73","1.04"
"AYRWF","Ayr Wellness Inc","Domestic","-- ","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"AYRO","AYRO Inc","Domestic","$21M (Micro)","Consumer Discretionary","Automobiles","Automobile Manufacturers","--","0.37"
"AYTU","Aytu Biopharma Inc","Domestic","$14M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","0.25"
"AZEK","Azek Company Inc","Domestic","$3B (Small)","Industrials","Building Products","Building Products","24.89","1.96"
"AZTA","Azenta Inc","Domestic","$4B (Small)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","--","1.33"
"AZIL","Aziel Corp","Domestic","$508K (Micro)","Financials","Diversified Financial Services","Multi-Sector Holdings","--","--"
"AZYO","Aziyo Biologics Inc","Domestic","$104M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"AZGSQ","Aztec Oil & Gas Inc","Domestic","$130 (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","--"
"AZDDQ","Azure Dynamics Corp","Domestic","$2K (Micro)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","--","0.00"
"AZRH","Azure Holding Group Corp","Domestic","$46K (Micro)","Consumer Discretionary","Specialty Retail","Automotive Retail","--","--"
"AZZ","AZZ Inc","Domestic","$989M (Micro)","Industrials","Electrical Equipment","Heavy Electrical Equipment","12.05","1.15"
"RILY","B Riley Financial Inc","Domestic","$1B (Micro)","Financials","Capital Markets","Investment Banking & Brokerage","--","2.30"
"BGS","B&G Foods Inc","Domestic","$939M (Micro)","Consumer Staples","Food Products","Packaged Foods & Meats","--","1.12"
"SCDA","B-Scada Inc","Domestic","$2K (Micro)","Information Technology","Software","Application Software","--","0.00"
"BTDG","B2digital Inc","Domestic","$693K (Micro)","Communication Services","Entertainment","Movies & Entertainment","--","--"
"BABB","BAB Inc","Domestic","$5M (Micro)","--","--","--","12.29","1.70"
"BW","Babcock & Wilcox Enterprises Inc","Domestic","$441M (Micro)","Industrials","Electrical Equipment","Heavy Electrical Equipment","--","--"
"BLZE","Backblaze Inc","Domestic","$135M (Micro)","Information Technology","IT Services","Internet Services & Infrastructure","--","1.76"
"BMI","Badger Meter Inc","Domestic","$3B (Small)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","51.33","8.01"
"BDVB","Bagger Dave's Burger Tavern Inc","Domestic","$2M (Micro)","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","--","0.48"
"BCSF","Bain Capital Specialty Finance Inc","Domestic","$876M (Micro)","Financials","Capital Markets","Asset Management & Custody Banks","10.40","0.80"
"BBBK","Baker Boyer Bancorp","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"BKR","Baker Hughes Co","Domestic","$30B (Mid)","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","--","2.13"
"BKUH","Bakhu Holdings Corp","Domestic","$603M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"BWTX","Bakken Water Transfer Services Inc","Domestic","-- ","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","--","--"
"BKKT/WS","Bakkt Holdings Equity Warrants Exp 1st July 2026","Domestic","-- ","Financials","Capital Markets","Financial Exchanges & Data","--","--"
"BKKT","Bakkt Holdings Inc","Domestic","$504M (Micro)","Financials","Capital Markets","Financial Exchanges & Data","--","2.72"
"BCPC","Balchem Corp","Domestic","$5B (Small)","Materials","Chemicals","Specialty Chemicals","41.94","5.05"
"BCNN","Balincan USA Inc","Domestic","$4M (Micro)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","0.04","--"
"BALL","Ball Corp","Domestic","$17B (Mid)","Materials","Containers & Packaging","Metal & Glass Containers","18.58","4.90"
"BTN","Ballantyne Strong Inc","Domestic","$47M (Micro)","Communication Services","Entertainment","Movies & Entertainment","--","1.04"
"BRSI","Ballistic Recovery Systems Inc","Domestic","$2K (Micro)","Industrials","Aerospace & Defense","Aerospace & Defense","--","0.00"
"BSPA","Ballston Spa Bancorp Inc","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"BALY","Bally's Corp","Domestic","$1B (Micro)","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","--","1.07"
"BISA","Baltic International USA Inc","Domestic","$156K (Micro)","Materials","Chemicals","Industrial Gases","--","--"
"BANC","Banc of California Inc","Domestic","$998M (Micro)","Financials","Banks","Regional Banks","10.44","1.05"
"BANF","BancFirst Corp","Domestic","$3B (Small)","Financials","Banks","Regional Banks","18.88","2.71"
"BCTF","Bancorp 34 Inc","Domestic","$34M (Micro)","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance","22.63","0.96"
"TBBK","Bancorp Inc","Domestic","$2B (Micro)","Financials","Banks","Regional Banks","14.67","2.52"
"BCSO","Bancorp of Southern Indiana","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"BAND","Bandwidth Inc","Domestic","$518M (Micro)","Communication Services","Diversified Telecommunication Services","Alternative Carriers","--","2.66"
"BNGI","Bangi Inc","Domestic","$556K (Micro)","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","--","--"
"BFC","Bank First Corp","Domestic","$844M (Micro)","Financials","Banks","Regional Banks","16.65","1.92"
"BAC","Bank of America Corp","Domestic","$298B (Large)","Financials","Banks","Diversified Banks","11.76","1.24"
"BOH","Bank of Hawaii Corp","Domestic","$3B (Small)","Financials","Banks","Regional Banks","14.22","2.85"
"BOID","Bank of Idaho Holding Co","Domestic","$76M (Micro)","Financials","Banks","Regional Banks","12.61","1.24"
"BMRC","Bank of Marin Bancorp","Domestic","$562M (Micro)","Financials","Banks","Regional Banks","12.90","1.42"
"NTB","Bank of N T Butterfield & Son Ltd","Domestic","$2B (Micro)","Financials","Banks","Diversified Banks","--","2.21"
"BK","Bank of New York Mellon Corp","Domestic","$35B (Mid)","Financials","Capital Markets","Asset Management & Custody Banks","13.37","1.02"
"BPRN","Bank Of Princeton","Domestic","$216M (Micro)","Financials","Banks","Regional Banks","8.19","0.94"
"BKSC","Bank of South Carolina","Domestic","$94M (Micro)","Financials","Banks","Regional Banks","15.32","2.26"
"BOTJ","Bank of the James","Domestic","$55M (Micro)","Financials","Banks","Regional Banks","6.31","1.13"
"BKUT","Bank of Utica","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"BKUTK","Bank of Utica","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"OZK","Bank Ozk","Domestic","$6B (Small)","Financials","Banks","Regional Banks","10.56","1.29"
"BSVN","Bank7 Corp","Domestic","$237M (Micro)","Financials","Banks","Regional Banks","8.85","1.74"
"BFIN","BankFinancial Corp","Domestic","$129M (Micro)","Financials","Banks","Regional Banks","13.93","0.85"
"BKGMD","BankGuam Holding Co","Domestic","$135M (Micro)","Financials","Banks","Diversified Banks","7.77","1.16"
"BKU","BankUnited Inc","Domestic","$3B (Small)","Financials","Banks","Regional Banks","8.65","1.14"
"BWFG","Bankwell Financial Group Inc","Domestic","$239M (Micro)","Financials","Banks","Regional Banks","6.50","1.03"
"BANI","Banneker Inc","Domestic","$13M (Micro)","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","--","0.00"
"BANR","Banner Corp","Domestic","$2B (Small)","Financials","Banks","Regional Banks","12.43","1.67"
"BANT","Bantec Inc","Domestic","$648K (Micro)","Industrials","Aerospace & Defense","Aerospace & Defense","--","--"
"BNYN","Banyan Corp","Domestic","$909 (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","--"
"BHB","Bar Harbor Bankshares","Domestic","$454M (Micro)","Financials","Banks","Regional Banks","11.15","1.20"
"BAOB","Baraboo Bancorporation Inc","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"BRFH","Barfresh Food Group Inc","Domestic","$18M (Micro)","Consumer Staples","Food Products","Packaged Foods & Meats","--","2.71"
"BBDC","Barings BDC Inc","Domestic","$982M (Micro)","Financials","Capital Markets","Asset Management & Custody Banks","30.57","0.80"
"BCCI","Baristas Coffee Company Inc","Domestic","-- ","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","--","--"
"BARK","Bark Inc","Domestic","$324M (Micro)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","--","1.62"
"BNED","Barnes & Noble Education Inc","Domestic","$141M (Micro)","Consumer Discretionary","Specialty Retail","Specialty Stores","--","0.80"
"B","Barnes Group Inc","Domestic","$2B (Micro)","Industrials","Machinery","Industrial Machinery","76.64","1.56"
"BRN","Barnwell Industries Inc","Domestic","$32M (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4.25","1.76"
"BCAP","Baron Capital Enterprise Inc","Domestic","-- ","Financials","Diversified Financial Services","Other Diversified Financial Services","--","--"
"BRLL","Barrel Energy Inc","Domestic","$10M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"BBSI","Barrett Business Services Inc","Domestic","$666M (Micro)","Industrials","Professional Services","Human Resource & Employment Services","15.00","3.88"
"BASA","Basanite Inc","Domestic","$23M (Micro)","Materials","Chemicals","Commodity Chemicals","--","--"
"BSSP","Baseline Productions Inc","Domestic","$37K (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"BSET","Bassett Furniture Industries Inc","Domestic","$173M (Micro)","Consumer Discretionary","Household Durables","Home Furnishings","7.25","0.89"
"BBWI","Bath & Body Works Inc","Domestic","$9B (Mid)","Consumer Discretionary","Specialty Retail","Specialty Stores","10.19","--"
"BATL","Battalion Oil Corp","Domestic","$192M (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","--"
"BXRX","Baudax Bio Inc","Domestic","$3M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","0.03","--"
"BAX","Baxter International Inc","Domestic","$27B (Mid)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","4.95"
"BCML","BayCom Corp","Domestic","$243M (Micro)","Financials","Banks","Regional Banks","9.60","0.78"
"BAFN","Bayfirst Financial Corp","Domestic","$66M (Micro)","Financials","Banks","Regional Banks","12.40","0.81"
"BLIAQ","BB Liquidating Inc","Domestic","$383K (Micro)","Consumer Discretionary","Specialty Retail","Specialty Stores","--","--"
"BLIBQ","BB Liquidating Inc","Domestic","-- ","Consumer Discretionary","Specialty Retail","Specialty Stores","--","--"
"TRNX","BBHC Inc","Domestic","$57K (Micro)","Materials","Chemicals","Industrial Gases","--","0.00"
"BBXIA","BBX Capital Inc","Domestic","$91M (Micro)","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","6.56","0.34"
"BBXIB","BBX Capital Inc","Domestic","-- ","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","--","--"
"BCBP","BCB Bancorp Inc","Domestic","$338M (Micro)","Financials","Banks","Regional Banks","7.99","1.30"
"BODY","Beachbody Company Inc","Domestic","$260M (Micro)","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","--","1.03"
"BECN","Beacon Roofing Supply Inc","Domestic","$4B (Small)","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","10.54","2.04"
"BEEM","Beam Global","Domestic","$180M (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","6.08"
"BEAM","Beam Therapeutics Inc","Domestic","$3B (Small)","Health Care","Biotechnology","Biotechnology","--","4.67"
"BZIC","Beamz Interactive Inc","Domestic","$34K (Micro)","Consumer Discretionary","Leisure Products","Leisure Products","--","--"
"BRCOQ","Beard Co","Domestic","$2K (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","--"
"BBGI","Beasley Broadcast Group Inc","Domestic","$30M (Micro)","Communication Services","Media","Broadcasting","--","0.12"
"SKIN","Beauty Health Co","Domestic","$1B (Micro)","Consumer Staples","Personal Products","Personal Products","54.80","5.49"
"BZH","Beazer Homes USA Inc","Domestic","$395M (Micro)","Consumer Discretionary","Household Durables","Homebuilding","1.79","0.42"
"BEBE","bebe stores inc","Domestic","$76M (Micro)","Consumer Discretionary","Specialty Retail","Apparel Retail","--","--"
"BBDA","Bebida Beverage Co","Domestic","-- ","Consumer Staples","Beverages","Soft Drinks","--","--"
"ENGA","Bebuzee Inc","Domestic","$16M (Micro)","Communication Services","Media","Advertising","--","--"
"BDX","Becton Dickinson and Co","Domestic","$63B (Large)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","40.88","2.48"
"BBBY","Bed Bath & Beyond Inc","Domestic","$304M (Micro)","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","--","--"
"BGNE","Beigene Ltd","Domestic","$19B (Mid)","Health Care","Biotechnology","Biotechnology","--","3.93"
"BELFA","Bel Fuse Inc","Domestic","$77M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","9.64","1.90"
"BELFB","Bel Fuse Inc","Domestic","-- ","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","--","--"
"BDC","Belden Inc","Domestic","$3B (Small)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","23.12","3.05"
"BLTE","Belite Bio Inc","Domestic","$649M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ECGR","Bellatora Inc","Domestic","-- ","--","--","--","--","--"
"BLPH","Bellerophon Therapeutics Inc","Domestic","$11M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.54"
"BLCM","Bellicum Pharmaceuticals Inc","Domestic","$9M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.64"
"BRBR","Bellring Brands Inc","Domestic","$3B (Small)","Consumer Staples","Personal Products","Personal Products","32.52","--"
"DXBRF","BellRock Brands Inc","Domestic","-- ","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"OZ","Belpointe PREP LLC","Domestic","$339M (Micro)","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","--","1.07"
"BMXC","Bemax Inc","Domestic","$2M (Micro)","Consumer Discretionary","Distributors","Distributors","--","--"
