"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"MEI","Methode Electronics Inc","Domestic","7.73%","18.06","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$2B (Micro)"
"MXC","Mexco Energy Corp","Domestic","32.04%","7.74","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$32M (Micro)"
"MPAD","Micropac Industries Inc","Domestic","7.61%","11.03","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$34M (Micro)"
"MLR","Miller Industries Inc","Domestic","4.34%","22.72","Industrials","Machinery","Construction Machinery & Heavy Trucks","$313M (Micro)"
"MLKN","MillerKnoll Inc","Domestic","1.89%","28.71","Industrials","Commercial Services & Supplies","Office Services & Supplies","$2B (Micro)"
"MTX","Minerals Technologies Inc","Domestic","5.01%","13.15","Materials","Chemicals","Specialty Chemicals","$2B (Micro)"
"AVO","Mission Produce Inc","Domestic","3.09%","48.25","Consumer Staples","Food Products","Packaged Foods & Meats","$1B (Micro)"
"MG","Mistras Group Inc","Domestic","0.81%","34.57","Industrials","Professional Services","Research & Consulting Services","$118M (Micro)"
"MITK","Mitek Systems Inc","Domestic","1.89%","71.45","Information Technology","Software","Application Software","$472M (Micro)"
"MIXT","MIX Telematics Ltd","Domestic","2.77%","50.47","Information Technology","Software","Application Software","$178M (Micro)"
"MOD","Modine Manufacturing Co","Domestic","13.80%","9.29","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$1B (Micro)"
"MCRI","Monarch Casino & Resort Inc","Domestic","15.65%","18.86","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$2B (Micro)"
"MCEM","Monarch Cement Co","Domestic","16.78%","8.36","Materials","Construction Materials","Construction Materials","$395M (Micro)"
"MGI","MoneyGram International Inc","Domestic","0.39%","64.09","Information Technology","IT Services","Data Processing & Outsourced Services","$1B (Micro)"
"MNRO","Monro Inc","Domestic","3.43%","31.19","Consumer Discretionary","Specialty Retail","Automotive Retail","$1B (Micro)"
